,0,1
319,114.03,22.61
320,114.04,22.62
321,114.04,22.61
322,114.04,22.6
323,114.05,22.6
324,114.05,22.59
325,114.04,22.59
326,114.03,22.59
327,113.97,22.58
328,114.01,22.57
329,114.04,22.63
330,114.04,22.64
331,114.05,22.64
332,114.05,22.65
333,114.05,22.66
334,114.05,22.67
335,114.05,22.68
336,114.05,22.69
337,114.05,22.7
338,114.05,22.71
339,114.04,22.71
340,114.04,22.72
341,114.04,22.73
342,114.03,22.73
343,114.03,22.72
344,114.05,22.62
345,114.07,22.58
346,114.06,22.58
347,114.05,22.58
348,114.06,22.6
349,114.06,22.61
350,114.07,22.61
351,114.07,22.62
352,114.08,22.62
353,114.08,22.63
354,114.09,22.63
355,114.09,22.64
356,114.09,22.65
357,114.09,22.66
358,114.09,22.67
359,114.1,22.67
360,114.1,22.66
361,114.11,22.66
362,114.11,22.67
363,114.12,22.67
364,114.12,22.66
365,114.12,22.68
366,114.12,22.65
367,114.12,22.64
368,114.03,22.63
369,114.02,22.63
370,114.06,22.67
371,114.06,22.68
372,114.07,22.68
373,114.07,22.69
374,114.08,22.69
375,114.06,22.66
376,114.06,22.65
377,113.84,22.65
378,113.83,22.65
379,113.82,22.65
380,113.82,22.66
381,113.82,22.67
382,113.83,22.67
383,113.82,22.68
384,113.82,22.61
385,113.82,22.62
386,113.81,22.62
387,113.81,22.63
388,113.81,22.61
389,113.83,22.61
390,114.01,22.62
391,114.01,22.63
392,114.0,22.63
393,114.0,22.64
394,114.01,22.64
395,114.02,22.64
396,114.03,22.64
397,114.03,22.65
398,114.02,22.65
399,114.05,22.73
400,114.06,22.73
401,114.07,22.73
402,114.07,22.72
403,114.06,22.72
404,114.05,22.72
405,114.03,22.71
406,114.02,22.71
407,114.02,22.7
408,114.03,22.7
409,114.03,22.69
410,114.03,22.68
411,114.02,22.68
412,114.01,22.68
413,114.0,22.68
414,114.0,22.67
415,113.99,22.67
416,113.99,22.66
417,114.0,22.66
418,114.0,22.65
419,114.01,22.65
420,113.89,22.66
421,113.89,22.67
422,113.89,22.68
423,113.89,22.69
424,113.89,22.7
425,113.88,22.7
426,113.88,22.71
427,113.88,22.72
428,113.88,22.73
429,113.88,22.74
430,113.89,22.74
431,113.9,22.74
432,113.9,22.73
433,113.89,22.73
434,114.11,22.53
435,113.93,22.66
436,113.93,22.67
437,113.94,22.67
438,113.94,22.68
439,113.95,22.68
440,113.96,22.68
441,113.96,22.69
442,113.97,22.69
443,113.97,22.68
444,113.98,22.68
445,113.98,22.67
446,113.94,22.5
447,113.99,22.63
448,113.98,22.63
449,113.97,22.63
450,114.02,22.66
451,114.03,22.66
452,114.03,22.67
453,114.02,22.67
454,114.01,22.66
455,114.04,22.65
456,114.06,22.64
457,114.06,22.63
458,114.05,22.63
459,114.06,22.59
460,114.12,22.62
461,114.12,22.59
462,114.13,22.59
463,114.17,22.64
464,114.18,22.64
465,114.19,22.64
466,114.2,22.64
467,114.2,22.65
468,114.19,22.65
469,114.21,22.65
470,114.21,22.66
471,114.16,22.64
472,114.15,22.64
473,114.15,22.65
474,114.14,22.65
475,114.14,22.66
476,114.15,22.66
477,114.13,22.66
478,114.08,22.67
479,114.07,22.67
480,114.04,22.68
481,114.02,22.69
482,114.01,22.69
483,114.0,22.69
484,113.99,22.69
485,113.98,22.69
486,113.88,22.66
487,113.87,22.66
488,113.86,22.65
489,113.86,22.64
490,113.79,22.68
491,113.78,22.68
492,113.78,22.69
493,113.78,22.7
494,113.79,22.7
495,113.79,22.71
496,113.79,22.72
497,113.79,22.73
498,113.8,22.73
499,113.8,22.74
500,113.81,22.74
501,113.81,22.73
502,113.82,22.73
503,113.81,22.72
504,113.81,22.71
505,113.81,22.7
506,113.81,22.69
507,113.8,22.69
508,113.8,22.68
509,113.8,22.67
510,113.81,22.67
511,113.81,22.66
512,113.81,22.65
513,113.82,22.64
514,113.85,22.61
515,114.03,22.57
516,114.06,22.62
517,114.05,22.61
518,114.28,22.75
519,114.28,22.74
520,114.28,22.73
521,114.27,22.73
522,114.26,22.73
523,114.26,22.72
524,114.25,22.72
525,114.24,22.72
526,114.24,22.71
527,114.23,22.71
528,114.23,22.7
529,114.23,22.69
530,114.22,22.69
531,114.22,22.7
532,114.21,22.7
533,114.21,22.71
534,114.21,22.72
535,114.2,22.72
536,114.16,22.65
537,114.07,22.66
538,114.18,22.57
539,113.87,22.65
540,114.07,22.65
541,114.07,22.64
542,114.04,22.67
543,114.04,22.69
544,114.04,22.7
545,113.97,22.53
546,114.07,22.63
547,114.1,22.61
548,114.1,22.6
549,114.12,22.63
550,114.15,22.54
551,114.14,22.54
552,114.22,22.55
553,114.23,22.55
554,114.1,22.64
555,114.11,22.64
556,114.14,22.64
557,114.14,22.59
558,114.21,22.56
559,114.01,22.67
560,114.12,22.53
561,113.82,22.69
562,113.83,22.69
563,113.83,22.7
564,113.82,22.7
565,113.83,22.63
566,114.09,22.61
567,114.09,22.62
568,114.14,22.67
569,114.15,22.67
570,114.14,22.68
571,114.13,22.68
572,114.13,22.67
573,113.94,22.69
574,113.95,22.69
575,113.88,22.75
576,113.88,22.76
577,113.87,22.76
578,113.87,22.77
579,113.87,22.78
580,113.87,22.79
581,113.87,22.8
582,113.88,22.8
583,113.88,22.81
584,113.88,22.82
585,113.88,22.83
586,113.87,22.83
587,113.87,22.84
588,113.86,22.84
589,113.86,22.85
590,113.86,22.86
591,113.87,22.86
592,113.88,22.86
593,113.88,22.87
594,113.89,22.87
595,113.9,22.87
596,113.91,22.87
597,113.92,22.87
598,113.92,22.88
599,113.93,22.88
600,113.93,22.89
601,113.92,22.89
602,113.91,22.88
603,113.94,22.89
604,113.95,22.89
605,113.95,22.88
606,113.96,22.88
607,113.97,22.88
608,113.97,22.87
609,113.98,22.87
610,113.98,22.86
611,113.98,22.85
612,113.99,22.85
613,113.99,22.84
614,114.0,22.84
615,114.0,22.83
616,114.01,22.83
617,114.01,22.82
618,114.02,22.82
619,114.02,22.81
620,114.03,22.81
621,114.04,22.81
622,114.04,22.8
623,114.04,22.79
624,114.04,22.78
625,114.04,22.77
626,114.03,22.77
627,114.03,22.76
628,114.03,22.75
629,114.02,22.75
630,114.02,22.74
631,114.03,22.74
632,114.08,22.65
633,114.08,22.64
634,114.08,22.66
635,113.89,22.54
636,113.91,22.47
637,113.99,22.65
638,113.98,22.66
639,113.96,22.7
640,113.96,22.71
641,113.96,22.72
642,113.95,22.72
643,113.95,22.73
644,113.94,22.73
645,113.94,22.74
646,113.93,22.74
647,113.93,22.75
648,113.92,22.75
649,113.92,22.76
650,113.91,22.76
651,113.91,22.77
652,113.91,22.78
653,113.91,22.79
654,113.92,22.79
655,113.92,22.78
656,113.9,22.78
657,113.9,22.79
658,113.89,22.79
659,113.89,22.78
660,113.9,22.77
661,113.9,22.76
662,113.9,22.75
663,113.9,22.72
664,113.9,22.71
665,113.91,22.71
666,113.91,22.7
667,113.92,22.7
668,113.99,22.68
669,113.93,22.73
670,113.92,22.73
671,113.92,22.72
672,113.93,22.7
673,113.85,22.57
674,114.08,22.58
675,113.94,22.72
676,113.93,22.72
677,113.91,22.73
678,113.91,22.72
679,113.88,22.52
680,114.2,22.56
681,114.21,22.57
682,114.22,22.57
683,114.23,22.57
684,114.26,22.58
685,114.27,22.59
686,114.28,22.59
687,114.3,22.6
688,114.3,22.61
689,114.31,22.61
690,114.31,22.6
691,114.32,22.6
692,114.32,22.61
693,114.33,22.61
694,114.33,22.6
695,114.34,22.6
696,114.34,22.61
697,114.35,22.61
698,114.36,22.61
699,114.36,22.62
700,114.37,22.62
701,114.38,22.62
702,114.38,22.61
703,114.39,22.61
704,114.39,22.62
705,114.4,22.62
706,114.4,22.61
707,114.41,22.61
708,114.41,22.62
709,114.42,22.62
710,114.42,22.63
711,114.43,22.61
712,114.45,22.6
713,114.46,22.6
714,114.47,22.6
715,114.47,22.59
716,114.47,22.58
717,114.48,22.58
718,114.48,22.57
719,114.49,22.57
720,114.49,22.56
721,114.5,22.56
722,114.5,22.55
723,114.51,22.55
724,114.51,22.54
725,114.52,22.53
726,114.52,22.54
727,114.29,22.6
728,114.17,22.65
729,114.18,22.65
730,114.18,22.66
731,114.19,22.66
732,114.2,22.66
733,114.2,22.67
734,114.21,22.67
735,114.22,22.66
736,114.23,22.66
737,114.24,22.66
738,114.25,22.66
739,114.26,22.66
740,114.27,22.66
741,114.28,22.66
742,114.29,22.66
743,114.3,22.66
744,114.31,22.66
745,114.32,22.66
746,114.32,22.67
747,114.33,22.67
748,114.33,22.68
749,114.32,22.68
750,114.33,22.69
751,114.34,22.69
752,114.34,22.7
753,114.35,22.7
754,114.35,22.69
755,114.36,22.69
756,114.37,22.69
757,114.37,22.68
758,114.38,22.69
759,114.33,22.7
760,114.32,22.7
761,114.32,22.71
762,114.31,22.71
763,114.3,22.71
764,114.3,22.72
765,114.29,22.72
766,114.29,22.73
767,114.22,22.68
768,114.22,22.67
769,113.97,22.7
770,113.98,22.7
771,113.98,22.71
772,113.99,22.7
773,114.11,22.63
774,114.1,22.68
775,114.1,22.69
776,114.1,22.7
777,114.1,22.71
778,114.09,22.71
779,113.83,22.66
780,113.83,22.68
781,113.84,22.69
782,113.84,22.75
783,113.84,22.76
784,113.83,22.76
785,113.82,22.76
786,113.82,22.77
787,113.81,22.77
788,113.81,22.78
789,113.8,22.78
790,113.8,22.79
791,113.79,22.79
792,113.79,22.8
793,113.79,22.81
794,113.78,22.8
795,113.77,22.8
796,113.76,22.8
797,113.75,22.8
798,113.73,22.81
799,113.73,22.82
800,113.74,22.81
801,113.74,22.82
802,113.73,22.8
803,113.74,22.8
804,113.77,22.78
805,113.78,22.78
806,113.83,22.77
807,113.84,22.74
808,113.84,22.73
809,113.84,22.72
810,113.83,22.72
811,113.83,22.71
812,113.83,22.6
813,114.21,22.64
814,114.21,22.63
815,114.22,22.63
816,114.18,22.63
817,114.04,22.66
818,113.89,22.76
819,114.0,22.74
820,114.0,22.73
821,114.29,22.59
822,114.41,22.63
823,113.85,22.56
824,113.86,22.55
825,113.87,22.55
826,113.87,22.54
827,113.88,22.54
828,113.88,22.53
829,114.04,22.75
830,114.04,22.74
831,113.9,22.47
832,113.89,22.47
833,113.89,22.48
834,113.84,22.58
835,113.84,22.57
836,113.84,22.59
837,113.83,22.59
838,114.15,22.68
839,114.14,22.69
840,114.15,22.69
841,114.13,22.69
842,114.13,22.7
843,114.12,22.7
844,114.11,22.7
845,114.11,22.69
846,114.22,22.6
847,113.82,22.71
848,113.82,22.72
849,113.8,22.72
850,113.78,22.72
851,114.14,22.7
852,114.16,22.68
853,114.11,22.68
854,113.79,22.69
855,113.79,22.67
856,113.79,22.66
857,113.79,22.65
858,113.8,22.66
859,114.2,22.68
860,114.21,22.68
861,114.23,22.68
862,114.24,22.69
863,114.24,22.7
864,114.25,22.7
865,114.25,22.71
866,114.26,22.71
867,114.27,22.71
868,114.28,22.71
869,114.29,22.71
870,114.31,22.72
871,114.31,22.73
872,114.31,22.74
873,114.31,22.75
874,114.32,22.76
875,114.32,22.77
876,114.32,22.78
877,114.32,22.79
878,114.33,22.79
879,114.33,22.8
880,114.33,22.81
881,114.33,22.82
882,114.33,22.83
883,114.33,22.84
884,114.34,22.84
885,114.34,22.85
886,114.34,22.86
887,114.34,22.87
888,114.33,22.87
889,114.33,22.88
890,114.32,22.89
891,114.32,22.9
892,114.32,22.91
893,114.32,22.92
894,114.31,22.92
895,114.31,22.93
896,114.3,22.93
897,114.3,22.94
898,114.3,22.95
899,114.31,22.95
900,114.31,22.96
901,114.31,22.97
902,114.32,22.97
903,114.32,22.98
904,114.33,22.98
905,114.33,22.99
906,114.34,22.99
907,114.34,23.0
908,114.34,23.01
909,114.35,23.01
910,114.35,23.02
911,114.36,23.02
912,114.36,23.03
913,114.37,23.03
914,114.37,23.04
915,114.38,23.04
916,114.38,23.05
917,114.39,23.05
918,114.39,23.06
919,114.38,23.06
920,114.38,23.07
921,114.38,23.08
922,114.38,23.09
923,114.38,23.1
924,114.39,23.1
925,114.39,23.11
926,114.4,23.11
927,114.41,23.11
928,114.41,23.12
929,114.41,23.13
930,114.42,23.13
931,114.42,23.12
932,114.37,23.1
933,114.37,23.09
934,114.36,23.09
935,114.35,23.09
936,114.34,23.09
937,114.34,23.08
938,114.34,23.07
939,114.33,23.07
940,114.33,23.06
941,114.33,23.05
942,114.33,23.04
943,114.33,23.03
944,114.33,23.02
945,114.33,23.01
946,114.32,23.01
947,114.32,23.0
948,114.32,22.99
949,114.32,22.96
950,114.32,22.95
951,114.31,22.94
952,114.33,22.89
953,114.33,22.86
954,114.32,22.86
955,114.32,22.85
956,114.32,22.84
957,114.31,22.78
958,114.3,22.78
959,114.3,22.77
960,114.3,22.76
961,114.29,22.76
962,114.28,22.76
963,114.27,22.75
964,113.92,22.6
965,114.06,22.69
966,114.14,22.6
967,113.9,22.5
968,113.87,22.51
969,113.86,22.51
970,113.88,22.48
971,114.01,22.58
972,114.15,22.58
973,113.92,22.48
974,113.88,22.49
975,113.94,22.48
976,113.85,22.53
977,113.87,22.48
978,113.88,22.47
979,113.87,22.47
980,114.2,22.69
981,114.21,22.69
982,114.2,22.71
983,114.11,22.71
984,114.12,22.71
985,114.12,22.72
986,114.13,22.72
987,114.13,22.71
988,114.13,22.73
989,113.98,22.57
990,113.9,22.67
991,113.91,22.67
992,113.91,22.68
993,113.8,22.7
994,114.31,22.7
995,114.31,22.69
996,114.32,22.69
997,114.28,22.6
998,113.3,22.87
999,113.3,22.86
1000,113.29,22.86
1001,113.27,22.76
1002,114.27,22.68
1003,114.26,22.69
1004,114.27,22.69
1005,114.24,22.67
1006,114.23,22.67
1007,114.24,22.68
1008,114.25,22.69
1009,113.86,22.87
1010,113.85,22.87
1011,113.85,22.86
1012,113.83,22.74
1013,113.99,22.61
1014,113.98,22.61
1015,113.98,22.62
1016,113.97,22.62
1017,113.97,22.61
1018,113.96,22.61
1019,114.12,22.69
1020,114.15,22.7
1021,114.16,22.69
1022,113.84,22.7
1023,113.85,22.71
1024,113.85,22.72
1025,113.85,22.73
1026,113.85,22.74
1027,113.82,22.74
1028,113.82,22.75
1029,114.16,22.6
1030,114.17,22.61
1031,114.17,22.6
1032,114.18,22.6
1033,114.19,22.6
1034,114.19,22.59
1035,114.07,22.71
1036,114.08,22.71
1037,114.08,22.7
1038,114.09,22.7
1039,114.08,22.68
1040,114.04,22.58
1041,114.05,22.74
1042,114.06,22.74
1043,114.02,22.73
1044,114.02,22.72
1045,114.29,22.67
1046,114.3,22.67
1047,114.31,22.67
1048,114.31,22.68
1049,114.34,22.71
1050,114.35,22.71
1051,114.33,22.71
1052,113.82,22.63
1053,114.06,22.71
1054,114.07,22.7
1055,113.89,22.61
1056,113.89,22.71
1057,113.96,22.73
1058,113.97,22.73
1059,113.97,22.74
1060,113.98,22.74
1061,113.98,22.75
1062,113.99,22.75
1063,114.0,22.75
1064,114.0,22.76
1065,114.01,22.76
1066,114.02,22.76
1067,114.05,22.75
1068,114.05,22.76
1069,114.06,22.76
1070,114.07,22.76
1071,114.08,22.76
1072,114.07,22.77
1073,114.08,22.77
1074,113.83,22.73
1075,113.81,22.75
1076,113.8,22.75
1077,113.79,22.74
1078,113.8,22.71
1079,113.8,22.54
1080,113.79,22.54
1081,113.79,22.53
1082,113.91,22.6
1083,113.83,22.75
1084,113.85,22.55
1085,113.86,22.54
1086,113.86,22.53
1087,113.84,22.87
1088,113.84,22.88
1089,113.84,22.89
1090,113.84,22.9
1091,113.85,22.9
1092,113.85,22.91
1093,113.85,22.92
1094,113.85,22.93
1095,113.85,22.94
1096,113.86,22.94
1097,113.86,22.95
1098,113.87,22.95
1099,113.87,22.96
1100,113.87,22.97
1101,113.87,22.98
1102,113.87,22.99
1103,113.88,22.99
1104,113.89,22.99
1105,113.89,22.98
1106,113.9,22.98
1107,113.91,22.98
1108,113.91,22.99
1109,113.91,22.97
1110,113.9,22.97
1111,113.9,22.96
1112,113.89,22.96
1113,113.89,22.95
1114,113.88,22.95
1115,113.88,22.94
1116,113.87,22.94
1117,113.87,22.93
1118,113.86,22.93
1119,113.86,22.92
1120,113.86,22.91
1121,113.86,22.9
1122,113.86,22.89
1123,113.85,22.89
1124,113.84,22.86
1125,113.83,22.86
1126,113.83,22.85
1127,113.83,22.84
1128,113.82,22.84
1129,113.82,22.83
1130,113.82,22.82
1131,113.83,22.82
1132,113.83,22.81
1133,113.84,22.81
1134,113.83,22.8
1135,113.83,22.79
1136,113.83,22.78
1137,113.84,22.78
1138,113.82,22.78
1139,113.78,22.73
1140,113.78,22.74
1141,113.89,22.8
1142,113.9,22.8
1143,113.88,22.67
1144,113.87,22.67
1145,113.86,22.67
1146,113.86,22.66
1147,113.81,22.68
1148,113.84,22.71
1149,113.78,22.81
1150,113.77,22.81
1151,113.76,22.81
1152,113.75,22.81
1153,113.72,22.82
1154,113.71,22.82
1155,113.71,22.83
1156,113.7,22.83
1157,113.69,22.83
1158,113.69,22.84
1159,113.69,22.85
1160,113.68,22.85
1161,113.68,22.86
1162,113.68,22.87
1163,113.67,22.87
1164,113.67,22.88
1165,113.67,22.89
1166,113.67,22.9
1167,113.67,22.91
1168,113.67,22.92
1169,113.68,22.92
1170,113.68,22.93
1171,113.69,22.93
1172,113.69,22.94
1173,113.69,22.95
1174,113.69,22.96
1175,113.7,22.96
1176,113.7,22.97
1177,113.7,22.98
1178,113.7,22.99
1179,113.7,23.0
1180,113.69,23.0
1181,113.69,23.01
1182,113.68,23.01
1183,113.68,23.02
1184,113.67,23.02
1185,113.67,23.03
1186,113.66,23.03
1187,113.66,23.04
1188,113.65,23.04
1189,113.64,23.04
1190,113.64,23.05
1191,113.63,23.05
1192,113.62,23.05
1193,113.62,23.06
1194,113.61,23.06
1195,113.61,23.07
1196,113.6,23.07
1197,113.6,23.08
1198,113.59,23.08
1199,113.59,23.09
1200,113.59,23.1
1201,113.58,23.1
1202,113.58,23.11
1203,113.57,23.11
1204,113.57,23.12
1205,113.58,23.12
1206,113.59,23.12
1207,113.6,23.12
1208,113.6,23.13
1209,113.61,23.12
1210,113.62,23.12
1211,113.63,23.12
1212,113.64,23.12
1213,113.64,23.11
1214,113.65,23.11
1215,113.65,23.1
1216,113.66,23.1
1217,113.67,23.1
1218,113.67,23.09
1219,113.68,23.09
1220,113.68,23.08
1221,113.68,23.07
1222,113.69,23.07
1223,113.69,23.06
1224,113.7,23.06
1225,113.7,23.05
1226,113.7,23.04
1227,113.7,23.03
1228,113.7,23.02
1229,113.71,23.02
1230,113.71,23.01
1231,113.71,23.0
1232,113.72,23.0
1233,113.72,22.99
1234,113.73,22.99
1235,113.73,22.98
1236,113.74,22.98
1237,113.75,22.98
1238,113.76,22.98
1239,113.77,22.98
1240,113.77,22.97
1241,113.77,22.96
1242,113.77,22.95
1243,113.78,22.95
1244,113.78,22.94
1245,113.79,22.94
1246,113.8,22.94
1247,113.8,22.93
1248,113.8,22.92
1249,113.81,22.92
1250,113.81,22.91
1251,113.82,22.91
1252,113.83,22.91
1253,113.83,22.9
1254,113.81,22.82
1255,113.8,22.82
1256,113.8,22.81
1257,113.8,22.8
1258,113.81,22.8
1259,113.82,22.8
1260,113.84,22.77
1261,113.85,22.77
1262,113.85,22.76
1263,113.82,22.79
1264,113.81,22.79
1265,113.84,22.68
1266,114.19,22.63
1267,113.83,22.58
1268,113.82,22.59
1269,113.82,22.6
1270,113.81,22.6
1271,113.8,22.61
1272,113.8,22.62
1273,113.79,22.62
1274,113.79,22.63
1275,113.79,22.64
1276,113.78,22.64
1277,113.78,22.65
1278,113.77,22.65
1279,113.77,22.66
1280,113.77,22.67
1281,113.77,22.68
1282,113.86,22.73
1283,113.87,22.73
1284,113.87,22.72
1285,113.89,22.72
1286,113.88,22.78
1287,113.88,22.77
1288,113.89,22.77
1289,113.86,22.78
1290,113.85,22.78
1291,113.86,22.77
1292,113.86,22.76
1293,113.84,22.79
1294,113.89,22.75
1295,113.88,22.79
1296,113.86,22.79
1297,113.85,22.79
1298,113.85,22.8
1299,113.85,22.81
1300,113.86,22.81
1301,113.84,22.8
1302,113.94,22.7
1303,113.95,22.7
1304,113.95,22.71
1305,113.85,22.75
1306,113.86,22.72
1307,113.91,22.74
1308,113.92,22.74
1309,113.93,22.76
1310,113.92,22.77
1311,113.93,22.77
1312,113.94,22.77
1313,113.94,22.76
